#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	GO:0140223.Annotations	GO:0140223.Evidence	GO:0003700.Annotations	GO:0003700.Evidence	GO:0003712.Annotations	GO:0003712.Evidence	GO:0043565.Annotations	GO:0043565.Evidence	GO:0006357.Annotations	GO:0006357.Evidence	GO:0000981.Annotations	GO:0000981.Evidence	DBD.present	Lovering_2021.present	ORFeome.present	Ravazi.present	Saeed.present	TFCat.present	animal_tfdb_homo_sapiens.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus.present	animal_tfdb_Rattus_norvegicus_cofactors.present	TcoF_human.present	tcof_cotf_human.present	TcoF_mouse.present	tcof_cotf_mouse.present	jaspar_human.present	jaspar_mouse.present	jaspar_rat.present	lambert_2018.present	Vaquerizas.present	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
ZNF460	HZF8	Zinc finger protein 460 	9606	10794	Q14592	ENSG00000197714	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14592&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14592&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14592&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000501	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14592&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF461	GIOT-1 MGC33911	Zinc finger protein 461 	9606	92283	Q8TAF7	ENSG00000197808	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TAF7&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TAF7&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TAF7&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TAF7&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF462	DKFZP762N2316 KIAA1803 Zfp462	Zinc finger protein 462 	9606|10090|10116	58499|242466|362522	Q96JM2|B1AWL2|D3ZFG7	ENSG00000148143|ENSMUSG00000060206|ENSRNOG00000032048	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JM2,UniProtKB:B1AWL2,UniProtKB:D3ZFG7&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	NA	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF467	EZI Zfp467	Zinc finger protein 467	9606|10090|10116	168544|68910|500110	Q7Z7K2|Q8JZL0|Q5RJR4	ENSG00000181444|ENSMUSG00000068551|ENSRNOG00000007707	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q7Z7K2,UniProtKB:Q8JZL0,UniProtKB:Q5RJR4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q7Z7K2,UniProtKB:Q8JZL0,UniProtKB:Q5RJR4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q7Z7K2,UniProtKB:Q8JZL0,UniProtKB:Q5RJR4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q7Z7K2,UniProtKB:Q8JZL0,UniProtKB:Q5RJR4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF468	-	Zinc finger protein 468	9606	90333	Q5VIY5	ENSG00000204604	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5VIY5&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5VIY5&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5VIY5&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5VIY5&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF469	KIAA1858 Zfp469	Zinc finger protein 469	9606	84627	Q96JG9	ENSG00000225614	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JG9&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	NA	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF470	CZF-1 FLJ26175	Zinc finger protein 470 	9606	388566	Q6ECI4	ENSG00000197016	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ECI4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ECI4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ECI4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ECI4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ZNF471	KIAA1396 Z1971 Zfp78	Zinc finger protein 471 	9606|10090|10116	57573|330463|103690110	Q9BX82|Q8BJ21|D3ZXJ3	ENSG00000196263|ENSMUSG00000055150|ENSRNOG00000015322	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BX82,UniProtKB:Q8BJ21,UniProtKB:D3ZXJ3&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BX82,UniProtKB:Q8BJ21,UniProtKB:D3ZXJ3&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BX82,UniProtKB:Q8BJ21,UniProtKB:D3ZXJ3&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BX82,UniProtKB:Q8BJ21,UniProtKB:D3ZXJ3&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF473	KIAA1141 DKFZP434N043 HZFP100	Zinc finger protein 473 	9606|10090|10116	25888|243963|292884	Q8WTR7|Q8BI67|F1LTH0	ENSG00000142528|ENSMUSG00000048012|ENSRNOG00000026572	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WTR7,UniProtKB:Q8BI67,UniProtKB:F1LTH0&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WTR7,UniProtKB:Q8BI67,UniProtKB:F1LTH0&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WTR7,UniProtKB:Q8BI67,UniProtKB:F1LTH0&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WTR7,UniProtKB:Q8BI67,UniProtKB:F1LTH0&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ZNF474	4933409D10Rik FLJ32921	Zinc finger protein 474 	9606|10090	133923|66758	Q6S9Z5|Q6V5K9	ENSG00000164185|ENSMUSG00000046886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Saeed	NA	NA	NA	animal_tfdb_Mus_musculus	NA	NA	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ZNF479	KR19	Zinc finger protein 479 	9606	90827	Q96JC4	ENSG00000185177	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JC4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JC4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JC4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000501	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96JC4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF48	DKFZp762K013 FLJ31751 MGC43952	Zinc finger protein 48 	9606|10090|10116	197407|233887|103690203	Q96MX3|Q3US17|D3ZY01	ENSG00000180035|ENSMUSG00000045598|ENSRNOG00000017837	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96MX3,UniProtKB:Q3US17,UniProtKB:D3ZY01&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96MX3,UniProtKB:Q3US17,UniProtKB:D3ZY01&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96MX3,UniProtKB:Q3US17,UniProtKB:D3ZY01&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96MX3,UniProtKB:Q3US17,UniProtKB:D3ZY01&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF480	MGC32104	Zinc finger protein 480	9606	147657	Q8WV37	ENSG00000198464	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WV37&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WV37&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WV37&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8WV37&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF483	ZKSCAN16 KIAA1962 ZSCAN48	Zinc finger protein 483 	9606|10090|10116	158399|100041581|170955	Q8TF39|A2ALW2|Q99PJ8	ENSG00000173258|ENSMUSG00000038630|ENSRNOG00000014975	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TF39,UniProtKB:A2ALW2,UniProtKB:Q99PJ8&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TF39,UniProtKB:A2ALW2,UniProtKB:Q99PJ8&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TF39,UniProtKB:A2ALW2,UniProtKB:Q99PJ8&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8TF39,UniProtKB:A2ALW2,UniProtKB:Q99PJ8&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF484	BA526D8.4 FLJ33884	Zinc finger protein 484	9606	83744	Q5JVG2	ENSG00000127081	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5JVG2&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5JVG2&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5JVG2&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q5JVG2&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF485	-	Zinc finger protein 485	9606	220992	Q8NCK3	ENSG00000198298	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8NCK3&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8NCK3&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8NCK3&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8NCK3&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF486	MGC2396	Zinc finger protein 486 	9606	90649	Q96H40	ENSG00000256229	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96H40&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96H40&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96H40&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000501	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96H40&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ZNF487	-	Putative zinc finger protein 487 	9606	642819	B1APH4	ENSG00000243660	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:B1APH4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:B1APH4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:B1APH4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:B1APH4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.2	C2H2 zinc finger factors
ZNF488	FLJ32104	Zinc finger protein 488	9606|10090|10116	118738|382867|290571	Q96MN9|Q5HZG9|D4AAF0	ENSG00000265763|ENSMUSG00000044519|ENSRNOG00000057542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ZNF490	KIAA1198	Zinc finger protein 490	9606	57474	Q9ULM2	ENSG00000188033	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9ULM2&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9ULM2&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9ULM2&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9ULM2&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF491	FLJ34791	Zinc finger protein 491	9606	126069	Q8N8L2	ENSG00000177599	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8N8L2&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8N8L2&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8N8L2&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8N8L2&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
