#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
RAX2	MGC15631 ARMD6 CORD11	Retina and anterior neural fold homeobox protein 2 	9606	84839	Q96IS3	ENSG00000173976	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
RBAK	ZNF769	RB-associated KRAB zinc finger protein 	9606|10090|10116|10090	57786|57782|288489|231866	Q9NYW8|Q8BQC8|A0A0G2K3M9|Q7TSI0	ENSG00000146587|ENSMUSG00000061898|ENSRNOG00000001099|ENSMUSG00000029587	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
RBPJ	SUH IGKJRB RBPJK KBF2 RBP-J CBF1	Recombining binding protein suppressor of hairless 	9606|10090|10116	3516|19664|679028	Q06330|P31266|M0R7Q3	ENSG00000168214|ENSMUSG00000039191|ENSRNOG00000046327	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.4	Rel homology region (RHR) factors
RBPJL	RBP-L SUH SUHL	Recombining binding protein suppressor of hairless-like protein 	9606|10090|10116	11317|19668|362268	Q9UBG7|O08674|D4AEG0	ENSG00000124232|ENSMUSG00000017007|ENSRNOG00000026295	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.4	Rel homology region (RHR) factors
Rbpjl2	-	-	10116	297767	F1LNW1	ENSRNOG00000007797	NA	NA	TFclass_rat.present	NA	NA
RC3H2	FLJ20301 FLJ20713 RNF164	Roquin-2 	9606|10090	54542|319817	Q9HBD1|P0C090	ENSG00000056586|ENSMUSG00000075376	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.8.3	C3H zinc finger factors
RCOR1	COREST KIAA0071	REST corepressor 1 	9606|10090|10116	23186|217864|102554884	Q9UKL0|Q8CFE3|B5DEY2	ENSG00000089902|ENSMUSG00000037896|ENSRNOG00000008067	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
RCOR2	-	REST corepressor 2	9606|10090|10116	283248|104383|102552640	Q8IZ40|Q8C796|Q5FWT8	ENSG00000167771|ENSMUSG00000024968|ENSRNOG00000021183	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
RCOR3	FLJ10876	REST corepressor 3	9606|10090|10116	55758|214742|684192	Q9P2K3|Q6PGA0|B5DFE7	ENSG00000117625|ENSMUSG00000037395|ENSRNOG00000046445	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
REL	I-Rel c-Rel HIVEN86A	Proto-oncogene c-Rel	9606|10090|10116	5966|19696|305584	Q04864|P15307|F1M5R1	ENSG00000162924|ENSMUSG00000020275|ENSRNOG00000054437	TFclass_human.present	TFclass_mouse.present	NA	6.1.1	Rel homology region (RHR) factors
RELA	p65	Transcription factor p65 	9606|10090|10116	5970|19697|309165	Q04206|Q04207|Q7TQN4	ENSG00000173039|ENSMUSG00000024927|ENSRNOG00000030888	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.1	Rel homology region (RHR) factors
RELB	REL-B	Transcription factor RelB 	9606|10090|10116	5971|19698|100360982	Q01201|Q04863|D4AE15	ENSG00000104856|ENSMUSG00000002983|ENSRNOG00000033235	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.1	Rel homology region (RHR) factors
RERE	KIAA0458 ARP ARG DNB1 ATN2	Arginine-glutamic acid dipeptide repeats protein 	9606|10090|10116	473|68703|116665	Q9P2R6|Q80TZ9|Q62901	ENSG00000142599|ENSMUSG00000039852|ENSRNOG00000017940	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
REST	NRSF XBR	RE1-silencing transcription factor 	9606|10090|10116	5978|19712|83618	Q13127|Q8VIG1|O54963	ENSG00000084093|ENSMUSG00000029249|ENSRNOG00000002074	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
RFX1	EF-C	MHC class II regulatory factor RFX1 	9606|10090|10116	5989|19724|288906	P22670|P48377|D3ZQ82	ENSG00000132005|ENSMUSG00000031706|ENSRNOG00000006049	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX2	FLJ14226	DNA-binding protein RFX2 	9606|10090|10116|10090|10116	5990|19726|361746|19725|301121	P48378|P48381|Q5U2M9|P48379|B2GV50	ENSG00000087903|ENSMUSG00000040929|ENSRNOG00000014486|ENSMUSG00000024206|ENSRNOG00000045846	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX3	-	Transcription factor RFX3 	9606|10090|10116|10090|10116	5991|19726|361746|19725|301121	P48380|P48381|Q5U2M9|P48379|B2GV50	ENSG00000080298|ENSMUSG00000040929|ENSRNOG00000014486|ENSMUSG00000024206|ENSRNOG00000045846	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX4	-	Transcription factor RFX4 	9606|10090|10116	5992|71137|500818	Q33E94|Q7TNK1|A0A0G2K3G6	ENSG00000111783|ENSMUSG00000020037|ENSRNOG00000051536	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX5	-	DNA-binding protein RFX5 	9606|10090|10116	5993|53970|310659	P48382|Q9JL61|D3ZHD7	ENSG00000143390|ENSMUSG00000005774|ENSRNOG00000021012	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX6	MGC33442 dJ955L16.1	DNA-binding protein RFX6 	9606|10090|10116	222546|320995|294395	Q8HWS3|Q8C7R7|F1LTN7	ENSG00000185002|ENSMUSG00000019900|ENSRNOG00000027949	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX7	FLJ12994	DNA-binding protein RFX7 	9606|10090|10116	64864|319758|315804	Q2KHR2|Q3TDE2|B0BN42	ENSG00000181827|ENSMUSG00000037674|ENSRNOG00000060367	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFX8	FLJ42986	DNA-binding protein RFX8 	9606|10090|10116	731220|619289|501127	Q6ZV50|D3YU81|A0A0G2K3E1	ENSG00000196460|ENSMUSG00000057173|ENSRNOG00000058243	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.3	Fork head / winged helix factors
RFXANK	BLS RFX-B ANKRA1 F14150_1 MGC138628	DNA-binding protein RFXANK 	9606|10090|10116	8625|19727|306353	O14593|Q9Z205|Q5PQM6	ENSG00000064490|ENSMUSG00000036120|ENSRNOG00000033318	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.0.3	Uncharacterized
RFXAP	-	Regulatory factor X-associated protein 	9606|10090|10116	5994|170767|103691557	O00287|Q8VCG9|Q4KM44	ENSG00000133111|ENSMUSG00000036615|ENSRNOG00000028382	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.0.4	Uncharacterized
RGD1564807	-	-	10116	290911	D4A484	ENSRNOG00000031728	NA	NA	TFclass_rat.present	NA	NA
RGD1564836	-	-	10116	302676	D3ZAX1	ENSRNOG00000026969	NA	NA	TFclass_rat.present	NA	NA
Rhox12	-	-	10090|10116	382282|363437	Q4TU81|Q4TU71	ENSMUSG00000071766|ENSRNOG00000040033	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
Rhox6	-	-	10090	19202	O70238	ENSMUSG00000006200	NA	TFclass_mouse.present	NA	NA	NA
Rhox8	-	-	10090|10116	434768|503423	Q6VSS7|Q4TU75	ENSMUSG00000064137|ENSRNOG00000031534	NA	TFclass_mouse.present	NA	NA	NA
Rhox9	-	-	10090|10116	104384|100364002	Q9EQM5|Q4TU74	ENSMUSG00000068048|ENSRNOG00000050457	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
RHOXF1	OTEX PEPP1	Rhox homeobox family member 1 	9606	158800	Q8NHV9	ENSG00000101883	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
RHOXF2	THG1 PEPP-2 PEPP2 CT107	Rhox homeobox family member 2 	9606	84528	Q9BQY4	ENSG00000131721	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
RHOXF2B	-	Rhox homeobox family member 2B	9606	727940	P0C7M4	ENSG00000203989	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
RLF	ZNF292L Zn-15L	Zinc finger protein Rlf 	9606|10090|10116	6018|109263|313566	Q13129|O09107|Q9WUK0	ENSG00000117000|ENSMUSG00000049878|ENSRNOG00000027921	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
RORA	RZRA ROR1 ROR2 ROR3 NR1F1	Nuclear receptor ROR-alpha 	9606|10090|10116	6095|19883|300807	P35398|P51448|F1LZZ3	ENSG00000069667|ENSMUSG00000032238|ENSRNOG00000027145	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.2	Nuclear receptors with C4 zinc fingers
RORB	RZRB NR1F2 ROR-BETA	Nuclear receptor ROR-beta 	9606|10090|10116	6096|225998|309288	Q92753|Q8R1B8|P45446	ENSG00000198963|ENSMUSG00000036192|ENSRNOG00000013413	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.2	Nuclear receptors with C4 zinc fingers
RORC	RZRG RORG NR1F3 TOR	Nuclear receptor ROR-gamma 	9606|10090|10116	6097|19885|368158	P51449|P51450|A0A0G2QC01	ENSG00000143365|ENSMUSG00000028150|ENSRNOG00000020836	TFclass_human.present	TFclass_mouse.present	NA	2.1.2	Nuclear receptors with C4 zinc fingers
RREB1	HNT	Ras-responsive element-binding protein 1 	9606|10090|10116	6239|68750|306873	Q92766|Q3UH06|D3ZI11	ENSG00000124782|ENSMUSG00000039087|ENSRNOG00000015701	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
RUNX1	PEBP2A2 AMLCR1	Runt-related transcription factor 1 	9606|10090|10116	861|12394|50662	Q01196|Q03347|Q63046	ENSG00000159216|ENSMUSG00000022952|ENSRNOG00000001704	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.4.1	Runt domain factors
RUNX2	AML3 PEBP2A1 PEBP2aA1	Runt-related transcription factor 2 	9606|10090|10116	860|12393|367218	Q13950|Q08775|Q9Z2J9	ENSG00000124813|ENSMUSG00000039153|ENSRNOG00000020193	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.4.1	Runt domain factors
RUNX3	AML2 PEBP2A3	Runt-related transcription factor 3 	9606|10090|10116	864|12399|156726	Q13761|Q64131|Q91ZK1	ENSG00000020633|ENSMUSG00000070691|ENSRNOG00000054217	TFclass_human.present	TFclass_mouse.present	NA	6.4.1	Runt domain factors
RXRA	NR2B1 RXRalpha RXR-alpha	Retinoic acid receptor RXR-alpha 	9606|10090|10116	6256|20181|25271	P19793|P28700|Q05343	ENSG00000186350|ENSMUSG00000015846|ENSRNOG00000009446	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.3	Nuclear receptors with C4 zinc fingers
RXRB	NR2B2 H-2RIIBP RCoR-1 RXRbeta RXR-beta	Retinoic acid receptor RXR-beta 	9606|10090|10116	6257|20182|361801	P28702|P28704|P49743	ENSG00000204231|ENSMUSG00000039656|ENSRNOG00000000464	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.3	Nuclear receptors with C4 zinc fingers
RXRG	NR2B3 RXRgamma RXR-gamma	Retinoic acid receptor RXR-gamma 	9606|10090|10116	6258|20183|83574	P48443|P28705|Q5BJR8	ENSG00000143171|ENSMUSG00000015843|ENSRNOG00000004537	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.3	Nuclear receptors with C4 zinc fingers
SALL1	Hsal1 ZNF794	Sal-like protein 1 	9606|10090|10116	6299|58198|307740	Q9NSC2|Q9ER74|D3ZIF4	ENSG00000103449|ENSMUSG00000031665|ENSRNOG00000013907	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
SALL2	KIAA0360 Hsal2 ZNF795	Sal-like protein 2 	9606|10090|10116	6297|50524|305854	Q9Y467|Q9QX96|D4ADE6	ENSG00000165821|ENSMUSG00000049532|ENSRNOG00000013287	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
SALL3	ZNF796	Sal-like protein 3 	9606|10090|10116	27164|20689|364910	Q9BXA9|Q62255|D4A024	ENSG00000256463|ENSMUSG00000024565|ENSRNOG00000026116	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
SALL4	dJ1112F19.1 ZNF797	Sal-like protein 4 	9606|10090|10116	57167|99377|686412	Q9UJQ4|Q8BX22|M0RDM1	ENSG00000101115|ENSMUSG00000027547|ENSRNOG00000050035	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
SATB1	-	DNA-binding protein SATB1 	9606|10090|10116	6304|20230|316164	Q01826|Q60611|Q5U2Y2	ENSG00000182568|ENSMUSG00000023927|ENSRNOG00000012942	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.9	Homeo domain factors
SATB2	KIAA1034 FLJ21474	DNA-binding protein SATB2 	9606|10090|10116	23314|212712|501145	Q9UPW6|Q8VI24|D3ZJ19	ENSG00000119042|ENSMUSG00000038331|ENSRNOG00000010188	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.9	Homeo domain factors
SCRT1	DKFZp547F072 ZNF898	Transcriptional repressor scratch 1 	9606|10090|10116|10090|10116	83482|545474|366229|170729|366951	Q9BWW7|Q8BTH6|D3ZNS5|Q99M85|D4A919	ENSG00000261678|ENSMUSG00000060257|ENSRNOG00000005148|ENSMUSG00000048385|ENSRNOG00000025594	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
SCRT2	ZNF898B	Transcriptional repressor scratch 2 	9606|10090|10116|10090|10116	85508|545474|366229|170729|366951	Q9NQ03|Q8BTH6|D3ZNS5|Q99M85|D4A919	ENSG00000215397|ENSMUSG00000060257|ENSRNOG00000005148|ENSMUSG00000048385|ENSRNOG00000025594	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
SCX	bHLHa48 bHLHa41	Basic helix-loop-helix transcription factor scleraxis 	9606|10090|10116	642658|20289|680712	Q7RTU7|Q64124|G3V8X3	ENSG00000260428|ENSMUSG00000034161|ENSRNOG00000021812	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
SEBOX	OG9 OG9X	Homeobox protein SEBOX 	9606|10090|10116	645832|18292|58922	Q9HB31|P70368|Q9ERS8	ENSG00000274529|ENSMUSG00000001103|ENSRNOG00000009979	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
SFPQ	PSF PPP1R140	Splicing factor|proline- and glutamine-rich 	9606|10090|10116	6421|71514|252855	P23246|Q8VIJ6|Q4KM71	ENSG00000116560|ENSMUSG00000028820|ENSRNOG00000058461	TFclass_human.present	TFclass_mouse.present	NA	0.2.1	NonO domain factors
SHOX	PHOG GCFX SS SHOXY	Short stature homeobox protein 	9606	6473	O15266	ENSG00000185960	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
SHOX2	SHOT OG12X OG12	Short stature homeobox protein 2 	9606|10090|10116	6474|20429|25546	O60902|P70390|O35750	ENSG00000168779|ENSMUSG00000027833|ENSRNOG00000012478	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
SIM1	bHLHe14	Single-minded homolog 1 	9606|10090|10116	6492|20464|309888	P81133|Q61045|D3ZMU8	ENSG00000112246|ENSMUSG00000019913|ENSRNOG00000037600	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
SIM2	MGC119447 bHLHe15	Single-minded homolog 2 	9606|10090|10116	6493|20465|304071	Q14190|Q61079|D4AA36	ENSG00000159263|ENSMUSG00000062713|ENSRNOG00000054203	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
SIX1	-	Homeobox protein SIX1 	9606|10090|10116	6495|20471|114634	Q15475|Q62231|G3V970	ENSG00000126778|ENSMUSG00000051367|ENSRNOG00000022777	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SIX2	-	Homeobox protein SIX2 	9606|10090|10116	10736|20472|366542	Q9NPC8|Q62232|A0A0G2JVB1	ENSG00000170577|ENSMUSG00000024134|ENSRNOG00000058827	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SIX3	-	Homeobox protein SIX3 	9606|10090|10116	6496|20473|78974	O95343|Q62233|A0A0G2K2C0	ENSG00000138083|ENSMUSG00000038805|ENSRNOG00000057031	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SIX4	AREC3	Homeobox protein SIX4 	9606|10090|10116	51804|20474|299138	Q9UIU6|Q61321|D3ZAJ7	ENSG00000100625|ENSMUSG00000034460|ENSRNOG00000007250	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SIX5	-	Homeobox protein SIX5 	9606|10090|10116	147912|20475|308406	Q8N196|P70178|A0A0G2K7K3	ENSG00000177045|ENSMUSG00000040841|ENSRNOG00000060146	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SIX6	Six9	Homeobox protein SIX6 	9606|10090|10116	4990|20476|314221	O95475|Q9QZ28|D3ZCC7	ENSG00000184302|ENSMUSG00000021099|ENSRNOG00000006296	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.6	Homeo domain factors
SMAD1	MADR1 JV4-1	Mothers against decapentaplegic homolog 1 	9606|10090|10116	4086|17125|25671	Q15797|P70340|P97588	ENSG00000170365|ENSMUSG00000031681|ENSRNOG00000018483	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD2	MADR2 JV18-1	Mothers against decapentaplegic homolog 2 	9606|10090|10116	4087|17126|29357	Q15796|Q62432|O70436	ENSG00000175387|ENSMUSG00000024563|ENSRNOG00000018140	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD3	JV15-2 HsT17436	Mothers against decapentaplegic homolog 3 	9606|10090|10116	4088|17127|25631	P84022|Q8BUN5|P84025	ENSG00000166949|ENSMUSG00000032402|ENSRNOG00000008620	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD4	DPC4	Mothers against decapentaplegic homolog 4 	9606|10090|10116	4089|17128|50554	Q13485|P97471|O70437	ENSG00000141646|ENSMUSG00000024515|ENSRNOG00000051965	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD5	Dwfc JV5-1	Mothers against decapentaplegic homolog 5 	9606|10090|10116	4090|17129|59328	Q99717|P97454|Q9R1V3	ENSG00000113658|ENSMUSG00000021540|ENSRNOG00000022870	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD6	HsT17432	Mothers against decapentaplegic homolog 6 	9606|10090|10116|10090|10116	4091|17131|81516|17130|367100	O43541|O35253|O88406|O35182|D3ZAQ2	ENSG00000137834|ENSMUSG00000025880|ENSRNOG00000018359|ENSMUSG00000036867|ENSRNOG00000009173	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD7	-	Mothers against decapentaplegic homolog 7 	9606|10090|10116|10090|10116	4092|17131|81516|17130|367100	O15105|O35253|O88406|O35182|D3ZAQ2	ENSG00000101665|ENSMUSG00000025880|ENSRNOG00000018359|ENSMUSG00000036867|ENSRNOG00000009173	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMAD9	SMAD8 SMAD8/9	Mothers against decapentaplegic homolog 9 	9606|10090|10116|10116	4093|55994|103691556|103691556	O15198|Q9JIW5|O54835|G3V603	ENSG00000120693|ENSMUSG00000027796|ENSRNOG00000000091|ENSRNOG00000000091	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.1.1	SMAD/NF-1 DNA-binding domain factors
SMARCA1	SNF2LB NURF140 ISWI SWI hSNF2L	Probable global transcription activator SNF2L1 	9606|10090|10116	6594|93761|317575	P28370|Q6PGB8|D3ZIE5	ENSG00000102038|ENSMUSG00000031099|ENSRNOG00000003762	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
SMARCA5	hSNF2H hISWI ISWI	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	9606|10090|10116	8467|93762|307766	O60264|Q91ZW3|F1LNL2	ENSG00000153147|ENSMUSG00000031715|ENSRNOG00000018149	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
SMARCC1	BAF155 SRG3 Rsc8 CRACC1	SWI/SNF complex subunit SMARCC1 	9606|10090|10116	6599|20588|301020	Q92922|P97496|D3ZJU5	ENSG00000173473|ENSMUSG00000032481|ENSRNOG00000020804	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
SMARCC2	BAF170 Rsc8 CRACC2	SWI/SNF complex subunit SMARCC2 	9606|10090|10116	6601|68094|685179	Q8TAQ2|Q6PDG5|D4A510	ENSG00000139613|ENSMUSG00000025369|ENSRNOG00000031135	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
SMARCE1	BAF57	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 	9606|10090|10116	6605|57376|303518	Q969G3|O54941|Q56A18	ENSG00000073584|ENSMUSG00000037935|ENSRNOG00000010676	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.2	High-mobility group (HMG) domain factors
SNAI1	SNA SLUGH2 SNAH SNAIL1 SNAIL	Zinc finger protein SNAI1 	9606|10090|10116	6615|20613|116490	O95863|Q02085|Q6AY35	ENSG00000124216|ENSMUSG00000042821|ENSRNOG00000009594	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
SNAI2	SLUGH1 SNAIL2 SLUGH	Zinc finger protein SNAI2 	9606|10090|10116	6591|20583|25554	O43623|P97469|O08954	ENSG00000019549|ENSMUSG00000022676|ENSRNOG00000047699	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
SNAI3	SMUC Zfp293	Zinc finger protein SNAI3 	9606|10090|10116	333929|30927|307919	Q3KNW1|Q9QY31|D3ZYQ2	ENSG00000185669|ENSMUSG00000006587|ENSRNOG00000013586	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
SNAPC4	SNAP190 PTFalpha FLJ13451	snRNA-activating protein complex subunit 4 	9606|10090|10116	6621|227644|362088	Q5SXM2|Q8BP86|F1LYZ6	ENSG00000165684|ENSMUSG00000036281|ENSRNOG00000018845	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
SOHLH1	NOHLH TEB2 bA100C15.3 bHLHe80 SPATA27	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1	9606|10090|10116	402381|227631|362085	Q5JUK2|Q6IUP1|D4A4L1	ENSG00000165643|ENSMUSG00000059625|ENSRNOG00000033983	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
SOHLH2	FLJ20449 TEB1 bHLHe81 SPATA28	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2	9606	54937	Q9NX45	ENSG00000120669	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
Sohlh2	-	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2	10090|10116	74434|619575	Q9D489|Q3MHT3	ENSMUSG00000027794|ENSRNOG00000038091	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
SOX1	-	Transcription factor SOX-1	9606|10090	6656|20664	O00570|P53783	ENSG00000182968|ENSMUSG00000096014	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
SOX10	DOM WS4 WS2E SOX-10	Transcription factor SOX-10	9606|10090|10116	6663|20665|29361	P56693|Q04888|O55170	ENSG00000100146|ENSMUSG00000033006|ENSRNOG00000011305	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX11	-	Transcription factor SOX-11	9606|10090|10116	6664|20666|84046	P35716|Q7M6Y2|P0C1G9	ENSG00000176887|ENSMUSG00000063632|ENSRNOG00000030034	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX12	-	Transcription factor SOX-12 	9606|10090|10116	6666|20667|689988	O15370|Q04890|D3ZZ13	ENSG00000177732|ENSMUSG00000051817|ENSRNOG00000007514	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX13	Sox-13 ICA12 MGC117216	Transcription factor SOX-13 	9606|10090|10116	9580|20668|289026	Q9UN79|Q04891|D4A8S0	ENSG00000143842|ENSMUSG00000070643|ENSRNOG00000028353	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX14	SOX28	Transcription factor SOX-14 	9606|10090|10116	8403|20669|300954	O95416|Q04892|B7SZV3	ENSG00000168875|ENSMUSG00000053747|ENSRNOG00000022084	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX15	SOX27 SOX26	Protein SOX-15 	9606|10090|10116	6665|20670|363632	O60248|P43267|D4A8K3	ENSG00000129194|ENSMUSG00000041287|ENSRNOG00000012155	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
Sox15	-	Protein SOX-15	10090|10116	20670|363632	P43267|D4A8K3	ENSMUSG00000041287|ENSRNOG00000012155	NA	TFclass_mouse.present	NA	NA	NA
SOX17	-	Transcription factor SOX-17	9606|10090|10116	64321|20671|312936	Q9H6I2|Q61473|G3V923	ENSG00000164736|ENSMUSG00000025902|ENSRNOG00000027357	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX18	-	Transcription factor SOX-18	9606|10090|10116	54345|20672|311723	P35713|P43680|Q4V7E4	ENSG00000203883|ENSMUSG00000046470|ENSRNOG00000016248	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX2	-	Transcription factor SOX-2	9606|10090|10116	6657|20674|499593	P48431|P48432|Q6IUU3	ENSG00000181449|ENSMUSG00000074637|ENSRNOG00000012199	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
